age,job,marital,education,default_credit,housing,loan,contact_target,month,day_of_week,dt_year,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,target_decision
56,housemaid,married,basic-4y,no,no,no,telephone,may,mon,2022,261,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,services,married,high-school,no,yes,no,telephone,may,mon,2022,226,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,admin,married,basic-6y,no,no,no,telephone,may,mon,2022,151,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,services,married,high-school,no,no,yes,telephone,may,mon,2022,307,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,admin,married,professional-course,no,no,no,telephone,may,mon,2022,139,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,technician,single,professional-course,no,yes,no,telephone,may,mon,2022,380,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high-school,no,yes,no,telephone,may,mon,2022,50,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high-school,no,yes,no,telephone,may,mon,2022,222,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,blue-collar,single,high-school,no,no,yes,telephone,may,mon,2022,137,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,housemaid,divorced,basic-4y,no,yes,no,telephone,may,mon,2022,293,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic-6y,no,yes,no,telephone,may,mon,2022,146,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic-6y,no,yes,no,telephone,may,mon,2022,312,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,married,basic-9y,no,yes,yes,telephone,may,mon,2022,353,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,unemployed,married,high-school,no,no,no,telephone,may,mon,2022,38,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,retired,single,high-school,no,yes,no,telephone,may,mon,2022,342,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,technician,single,high-school,no,yes,no,telephone,may,mon,2022,181,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,admin,married,high-school,no,yes,no,telephone,may,mon,2022,172,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,technician,married,university-degree,no,no,yes,telephone,may,mon,2022,99,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,blue-collar,divorced,basic-4y,no,no,no,telephone,may,mon,2022,208,1,,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
